Gene	EnsemblId
znf536	ENSG00000198597
gsx2	ENSG00000180613
klhl1	ENSG00000150361
htra4	ENSG00000169495
cdkn2b	ENSG00000147883
cdkn2a	ENSG00000147889
kif1a	ENSG00000130294
tm9sf4	ENSG00000101337
linc00483	ENSG00000167117
naaladl2	ENSG00000177694
abi3	ENSG00000108798
lrrc7	ENSG00000033122
pds5a	ENSG00000121892
grin2b	ENSG00000273079
rbm10	ENSG00000182872
rbm17	ENSG00000134453
pcdhgc5	ENSG00000240764
olfm4	ENSG00000102837
tp53	ENSG00000141510
bap1	ENSG00000163930
ppp1r9b	ENSG00000108819
ccdc178	ENSG00000166960
arap3	ENSG00000120318
adam21p1	ENSG00000235812
snhg5	ENSG00000203875
unc13c	ENSG00000137766
ankle1	ENSG00000160117
csmd3	ENSG00000164796
itga11	ENSG00000137809
rabep2	ENSG00000177548
nos1ap	ENSG00000198929
cul3	ENSG00000036257
cdh10	ENSG00000040731
cdh12	ENSG00000154162
neb	ENSG00000183091
plekha2	ENSG00000169499
dync2h1	ENSG00000187240
tuba1c	ENSG00000167553
or4d1	ENSG00000141194
znf717	ENSG00000227124
met	ENSG00000105976
phf2	ENSG00000197724
obscn	ENSG00000154358
ppm1e	ENSG00000175175
ppm1d	ENSG00000170836
hrnr	ENSG00000197915
dppa3p2	ENSG00000188831
hebp1	ENSG00000013583
flg	ENSG00000143631
ptprvp	ENSG00000243323
pbx1	ENSG00000185630
fbxo18	ENSG00000134452
cttn	ENSG00000085733
flg2	ENSG00000143520
krtap4-3	ENSG00000196156
krtap4-5	ENSG00000198271
rgpd3	ENSG00000153165
rn7sl800p	ENSG00000242398
apc	ENSG00000134982
rpsa	ENSG00000168028
ccdc144a	ENSG00000170160
thra	ENSG00000126351
pcdh17	ENSG00000118946
pbrm1	ENSG00000163939
tbc1d3p2	ENSG00000188755
ndc80	ENSG00000080986
fam208b	ENSG00000108021
ercc2	ENSG00000104884
c16orf47	ENSG00000197445
c17orf64	ENSG00000141371
zpld1	ENSG00000170044
tnr	ENSG00000116147
lurap1l	ENSG00000153714
c3orf70	ENSG00000187068
setd1b	ENSG00000139718
cyld	ENSG00000083799
tnn	ENSG00000120332
pitpnc1	ENSG00000154217
mrpl27	ENSG00000108826
slitrk3	ENSG00000121871
tac4	ENSG00000176358
kcnn3	ENSG00000143603
dusp27	ENSG00000198842
mroh2b	ENSG00000171495
fam46a	ENSG00000112773
mn1	ENSG00000169184
nr1d1	ENSG00000126368
cadm3	ENSG00000162706
vhl	ENSG00000134086
mecom	ENSG00000085276
pom121l9p	ENSG00000128262
snap91	ENSG00000065609
phospho1	ENSG00000173868
sec61g	ENSG00000132432
megf6	ENSG00000162591
znf217	ENSG00000171940
zc3h11a	ENSG00000058673
adcy2	ENSG00000078295
col22a1	ENSG00000169436
rnft1	ENSG00000189050
si	ENSG00000090402
ucn3	ENSG00000178473
tprx1	ENSG00000178928
ears2	ENSG00000103356
spert	ENSG00000174015
hla-drb6	ENSG00000229391
tanc2	ENSG00000170921
prune2	ENSG00000106772
ncaph	ENSG00000121152
atp7a	ENSG00000165240
ac027612.3	ENSG00000230572
abcf3	ENSG00000161204
axin1	ENSG00000103126
bach2	ENSG00000112182
ankrd36bp2	ENSG00000230006
nf2	ENSG00000186575
rn7sl151p	ENSG00000244230
fadd	ENSG00000168040
krt8	ENSG00000170421
pkhd1l1	ENSG00000205038
fbxw7	ENSG00000109670
neurod2	ENSG00000171532
foxp1	ENSG00000114861
ddr2	ENSG00000162733
lancl2	ENSG00000132434
tenm2	ENSG00000145934
tenm1	ENSG00000009694
proser1	ENSG00000120685
utp18	ENSG00000011260
net1	ENSG00000173848
znf479	ENSG00000185177
ndufb7	ENSG00000099795
rpl19	ENSG00000108298
ccdc162p	ENSG00000203799
ankrd36c	ENSG00000174501
linc00441	ENSG00000231473
nckap5	ENSG00000176771
tmem132a	ENSG00000006118
hccat5	ENSG00000260880
ccne1	ENSG00000105173
ptprq	ENSG00000139304
gsdmb	ENSG00000073605
unc80	ENSG00000144406
setd2	ENSG00000181555
kras	ENSG00000133703
pcdh11x	ENSG00000102290
plac4	ENSG00000280109
nuf2	ENSG00000143228
rnf43	ENSG00000108375
nefh	ENSG00000100285
spop	ENSG00000121067
runx1	ENSG00000159216
nxph2	ENSG00000144227
ocrl	ENSG00000122126
ryr1	ENSG00000196218
cd34	ENSG00000174059
ryr3	ENSG00000198838
ryr2	ENSG00000198626
lats2	ENSG00000150457
nav3	ENSG00000067798
grb7	ENSG00000141738
cdkal1	ENSG00000145996
linc00662	ENSG00000261824
bms1p20	ENSG00000236850
mbip	ENSG00000151332
or5l1	ENSG00000279395
pex5l	ENSG00000114757
ube3d	ENSG00000118420
dpys	ENSG00000147647
spata31d5p	ENSG00000240632
fancd2	ENSG00000144554
pbxip1	ENSG00000163346
ddah1	ENSG00000153904
kmt2c	ENSG00000055609
mir4643	ENSG00000263734
cdc27	ENSG00000004897
zfp36l1	ENSG00000185650
cltc	ENSG00000141367
ncor2	ENSG00000196498
ajuba	ENSG00000129474
pgm3	ENSG00000013375
kdm5c	ENSG00000126012
pkd1	ENSG00000008710
samd14	ENSG00000167100
rin3	ENSG00000100599
tvp23c	ENSG00000175106
syne1	ENSG00000131018
syne2	ENSG00000054654
tm2d2	ENSG00000169490
e2f3	ENSG00000112242
dnah5	ENSG00000039139
tacc1	ENSG00000147526
csmd1	ENSG00000183117
abcc5	ENSG00000114770
vps13b	ENSG00000132549
pde4d	ENSG00000113448
luc7l3	ENSG00000108848
abcc3	ENSG00000108846
fer1l6	ENSG00000214814
tlk2	ENSG00000146872
mir548n	ENSG00000221669
znf514	ENSG00000144026
